"location_id","name","display_name","territorial_group","previous_location_type","location_type","is_operational","address_line_1","address_line_2","postal_code","city","country","full_address","latitude","longitude","address_status","source_label","source_url","second_source_label","second_source_url","verified_at","notes"
"bordeauxmetropole-bordeaux-bastide","Bordeaux Bastide","Bordeaux Bastide","bordeauxMetropole","sdisStation","sdisStation","true","56 rue de la Garonne","","33100","Bordeaux","France","56 rue de la Garonne, 33100 Bordeaux, France","44.835426","-0.550024","verified_cross_source","actu.fr (Bordeaux, demenagement des pompiers de la Benauge vers le CSP Bordeaux-Bastide)","https://actu.fr/nouvelle-aquitaine/bordeaux_33063/bordeaux-les-pompiers-de-la-benauge-quittent-la-caserne-apres-70-ans-et-vont-defiler-dans-les-rues_60890589.html","Base Adresse Nationale via Geoplateforme IGN (geocodage BAN)","https://data.geopf.fr/geocodage/search?index=address&limit=2&q=56%20rue%20de%20la%20Garonne%20Bordeaux","2026-07-29","CSP Bordeaux-Bastide (quartier Belvedere), operationnel depuis le 2 avril 2024, remplace la caserne historique de la Benauge. Existence confirmee dans OSM : way 1374788827 'Centre d'incendie et de secours Bordeaux-Bastide', operator SDIS 33, groupement Centre-Est (44.83609 / -0.54875 = emprise du batiment). Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session. Coordonnees indiquees = point adresse BAN du 56 rue de la Garonne. Pas de fiche officielle SDIS 33 en ligne : statut cross-source."
"bordeauxmetropole-bordeaux-benauge","Bordeaux Benauge","Bordeaux Benauge","bordeauxMetropole","sdisStation","interventionSector","false","1 rue de la Benauge (site historique, desaffecte)","","33100","Bordeaux","France","1 rue de la Benauge, 33100 Bordeaux, France (caserne historique fermee le 2 avril 2024)","44.839483","-0.558618","needs_confirmation","Ministere de la Culture - Journees du patrimoine (fiche caserne des pompiers de la Benauge)","https://journeesdupatrimoine.culture.gouv.fr/w/377623/evenement/18805749/visite-bordeaux-euratlantique-bordeaux-rive-droite-un-patrimoine-en-mouvement-","actu.fr (depart definitif des pompiers de la Benauge le 2 avril 2024)","https://actu.fr/nouvelle-aquitaine/bordeaux_33063/bordeaux-les-pompiers-de-la-benauge-quittent-la-caserne-apres-70-ans-et-vont-defiler-dans-les-rues_60890589.html","2026-07-29","L'unite 'CIS LA BENAUGE' figure encore dans l'annuaire SDIS 33 (groupement Centre-Est, mise a jour 22/05/2023 : https://www.annuaire-sdis.fr/sdis/gironde/groupements) mais son implantation au 1 rue de la Benauge est fermee depuis le 2 avril 2024 , l'activite est transferee au CSP Bordeaux-Bastide, 56 rue de la Garonne. Adresse postale operationnelle actuelle = celle de SDIS33-BM-BASTIDE - a confirmer directement avec le SDIS 33. Coordonnees = point adresse BAN du 1 rue de la Benauge (https://data.geopf.fr/geocodage/search?index=address&limit=2&q=1%20rue%20de%20la%20Benauge%20Bordeaux)."
"bordeauxmetropole-bordeaux-cauderan","Bordeaux Caudéran","Bordeaux Caudéran","bordeauxMetropole","sdisStation","interventionSector","false","","","","Bordeaux","France","","","","needs_confirmation","Annuaire SDIS 33 - unites territoriales (aucun CIS Caudéran dans les groupements Centre-Centre / Centre-Est / Centre-Ouest)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","OpenStreetMap - inventaire des amenity=fire_station operator SDIS 33 de la metropole bordelaise (aucune caserne a Caudéran)","https://overpass-api.de/api/interpreter","2026-07-29","Pas de CIS autonome identifie dans l'annuaire officiel SDIS 33 , secteur potentiellement couvert par CIS Ornano, 56 cours du Marechal Juin, 33000 Bordeaux (le plus proche , CIS Bruges et CIS Merignac egalement limitrophes) - a confirmer directement avec le SDIS 33. Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session."
"bordeauxmetropole-bordeaux-nord","Bordeaux Nord","Bordeaux Nord","bordeauxMetropole","sdisStation","interventionSector","false","","","","Bordeaux","France","","","","needs_confirmation","Annuaire SDIS 33 - unites territoriales (aucun CIS 'Bordeaux Nord')","https://www.annuaire-sdis.fr/sdis/gironde/groupements","Sud Ouest - secteur de premier appel du CIS de Bruges (Le Bouscat, Bruges, Blanquefort, Parempuyre et une partie de Bordeaux : Aubiers, Grand-Parc, bassins a flot, Bordeaux-Lac)","https://www.sudouest.fr/gironde/bruges/bruges-le-bouscat-la-caserne-des-pompiers-va-feter-ses-20-ans-cette-annee-23649334.php","2026-07-29","Pas de CIS autonome identifie dans l'annuaire officiel SDIS 33 , secteur potentiellement couvert par CIS Bruges, 3 rue des Aulnes, 33520 Bruges - dont le secteur de premier appel couvre le nord de Bordeaux (Aubiers, Grand-Parc, Bordeaux-Lac) - a confirmer directement avec le SDIS 33."
"bordeauxmetropole-bordeaux-ornano","Bordeaux Ornano","Bordeaux Ornano","bordeauxMetropole","sdisStation","sdisStation","true","56 cours du Maréchal Juin","","33000","Bordeaux","France","56 cours du Maréchal Juin, 33000 Bordeaux, France","44.835080","-0.584940","verified_cross_source","Annuaire SDIS 33 - unites territoriales, CIS ORNANO (groupement Centre-Centre)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","Base Adresse Nationale via Geoplateforme IGN (56 Cours Marechal Juin 33000 Bordeaux)","https://data.geopf.fr/geocodage/search?index=address&limit=2&q=56%20cours%20du%20Marechal%20Juin%20Bordeaux","2026-07-29","L'annuaire indique '33062 BORDEAUX' (code CEDEX administratif) , la BAN retient le code postal 33000 pour le 56 cours Marechal Juin - c'est le code postal a utiliser. Coordonnees = emprise OSM way 178167392 (CSP Ornano, operator SDIS 33). Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session. Ne pas confondre avec l'adresse de la direction du SDIS 33 (22 bd Pierre 1er, 33081 Bordeaux Cedex)."
"bordeauxmetropole-begles","Bègles","Bègles","bordeauxMetropole","sdisStation","interventionSector","false","","","","Bègles","France","","","","needs_confirmation","Annuaire SDIS 33 - unites territoriales (aucun CIS Begles)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","OpenStreetMap - inventaire des amenity=fire_station operator SDIS 33 de la metropole bordelaise (aucune caserne a Begles)","https://overpass-api.de/api/interpreter","2026-07-29","Pas de CIS autonome identifie dans l'annuaire officiel SDIS 33 , secteur potentiellement couvert par CIS Villenave-d'Ornon, Impasse de Benedigues, 33140 Villenave-d'Ornon (limitrophe au sud) ou CSP Bordeaux-Bastide - a confirmer directement avec le SDIS 33. Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session."
"bordeauxmetropole-bassens","Bassens","Bassens","bordeauxMetropole","sdisStation","sdisStation","true","2 rue de Beauval","","33530","Bassens","France","2 rue de Beauval, 33530 Bassens, France","44.906040","-0.503940","verified_official","Mairie d'Ambes - bulletin municipal 'L'Ambesien' (site du CIS Bassens, 2 rue de Beauval, Bassens)","https://www.villeambes.fr/wp-content/uploads/2022/11/Ambesien-2.pdf","Annuaire SDIS 33 - groupement territorial Centre-Est, 'rue beauval 33530 BASSENS' (etat-major co-implante)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","2026-07-29","CIS Bassens confirme : OSM way 968595753 (operator SDIS 33, groupement Centre-Est) et fiche du centre dans la carte des centres du SDIS 33 (https://unsa-sdis33.fr/wp-content/uploads/2022/05/Centres-du-SDIS-33-.pdf). Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session. La BAN indexe la voie 'Rue de Beauval 33530 Bassens' (44.908209 / -0.50307) mais pas le numero 2 : https://data.geopf.fr/geocodage/search?index=address&limit=3&q=2%20rue%20de%20Beauval%20Bassens. Le site est situe a la limite communale Bassens / Carbon-Blanc (le geocodage inverse renvoie 'rue de Beau Val 33560 Carbon-Blanc' a 72 m). Coordonnees = emprise OSM du batiment."
"bordeauxmetropole-bruges","Bruges","Bruges","bordeauxMetropole","sdisStation","sdisStation","true","3 rue des Aulnes","","33520","Bruges","France","3 rue des Aulnes, 33520 Bruges, France","44.872770","-0.577830","verified_cross_source","Annuaire SDIS 33 - unites territoriales, CIS BRUGES (groupement Centre-Centre)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","Base Adresse Nationale via Geoplateforme IGN (voie 'Rue des Aulnes 33520 Bruges')","https://data.geopf.fr/geocodage/search?index=address&limit=2&q=3%20rue%20des%20Aulnes%20Bruges","2026-07-29","Voie confirmee par la BAN , le numero 3 n'est pas indexe dans la BAN (le geocodage inverse sur l'emprise OSM renvoie '8 Rue des Aulnes' a 36 m, et l'amicale des sapeurs-pompiers de Bruges est declaree au 6 rue des Aulnes) : numero de voirie a reconfirmer aupres du SDIS 33. CIS confirme : OSM way 459195327 (CSP Bruges, operator SDIS 33). Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session. Secteur de premier appel : Le Bouscat, Bruges, Blanquefort, Parempuyre et une partie de Bordeaux (Sud Ouest, 17/03/2025)."
"bordeauxmetropole-carbon-blanc","Carbon-Blanc","Carbon-Blanc","bordeauxMetropole","sdisStation","interventionSector","false","","","","Carbon-Blanc","France","","","","needs_confirmation","Annuaire SDIS 33 - unites territoriales (aucun CIS Carbon-Blanc)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","Mairie d'Ambes - bulletin municipal (CIS Bassens, 2 rue de Beauval)","https://www.villeambes.fr/wp-content/uploads/2022/11/Ambesien-2.pdf","2026-07-29","Pas de CIS autonome identifie dans l'annuaire officiel SDIS 33 , secteur potentiellement couvert par CIS Bassens, 2 rue de Beauval, 33530 Bassens - implante en limite immediate de Carbon-Blanc (le geocodage inverse de l'emprise renvoie meme 'rue de Beau Val 33560 Carbon-Blanc' a 72 m) - a confirmer directement avec le SDIS 33."
"bordeauxmetropole-cenon","Cenon","Cenon","bordeauxMetropole","sdisStation","interventionSector","false","","","","Cenon","France","","","","needs_confirmation","Annuaire SDIS 33 - unites territoriales (aucun CIS Cenon)","https://www.annuaire-sdis.fr/sdis/gironde/groupements","OpenStreetMap - inventaire des amenity=fire_station operator SDIS 33 de la metropole bordelaise (aucune caserne a Cenon)","https://overpass-api.de/api/interpreter","2026-07-29","Pas de CIS autonome identifie dans l'annuaire officiel SDIS 33 , secteur potentiellement couvert par CSP Bordeaux-Bastide, 56 rue de la Garonne, 33100 Bordeaux ou CIS Bassens, 2 rue de Beauval, 33530 Bassens - a confirmer directement avec le SDIS 33. Donnees OSM recuperees via l'API Overpass (https://overpass-api.de/api/interpreter) dans cette session."
